invoice_number,expected_total,settlement_id,zoho_total,status
AMZN4945046,59.99,24495221541,,missing_in_zoho
AMZN4973052,59.99,24495221541,,missing_in_zoho
AMZN4976266,43.29,24495221541,,missing_in_zoho
AMZN5048254,59.99,24495221541,,missing_in_zoho
AMZN5077027,34.99,24495221541,,missing_in_zoho
AMZN5225065,59.99,24495221541,,missing_in_zoho
AMZN5307411,34.99,24495221541,,missing_in_zoho
AMZN5441815,34.99,24495221541,,missing_in_zoho
AMZN5471408,59.99,24495221541,,missing_in_zoho
AMZN5485855,59.99,24495221541,,missing_in_zoho
AMZN5508228,59.99,24495221541,,missing_in_zoho
AMZN5508243,59.99,24495221541,,missing_in_zoho
AMZN5525846,59.99,24495221541,,missing_in_zoho
AMZN5546652,59.99,24495221541,,missing_in_zoho
AMZN5566665,59.99,24495221541,,missing_in_zoho
AMZN5631466,94.98,24495221541,,missing_in_zoho
AMZN5746669,59.99,24495221541,,missing_in_zoho
AMZN5788226,59.99,24495221541,,missing_in_zoho
AMZN5878654,59.99,24495221541,,missing_in_zoho
AMZN6447462,59.99,24495221541,,missing_in_zoho
AMZN6464206,59.99,24495221541,,missing_in_zoho
AMZN6685035,59.99,24495221541,,missing_in_zoho
AMZN6690622,59.99,24495221541,,missing_in_zoho
