timestamp|method|type|endpoint|reference|amount|status|http_code|transaction_id
2025-10-29T20:50:47.595437|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195776
2025-10-29T20:50:48.697250|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195792
2025-10-29T20:50:49.762075|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196538
2025-10-29T20:50:50.885309|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195808
2025-10-29T20:50:52.007546|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196554
2025-10-29T20:50:53.130721|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195824
2025-10-29T20:50:54.269835|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196570
2025-10-29T20:50:55.371524|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195840
2025-10-29T20:50:56.508427|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195856
2025-10-29T20:50:57.645009|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196586
2025-10-29T20:50:58.847239|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196602
2025-10-29T20:50:59.913684|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195872
2025-10-29T20:51:01.047972|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195888
2025-10-29T20:51:02.151673|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195904
2025-10-29T20:51:03.302066|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196618
2025-10-29T20:51:04.461544|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196634
2025-10-29T20:51:05.550055|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195924
2025-10-29T20:51:06.653642|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196650
2025-10-29T20:51:07.739238|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195940
2025-10-29T20:51:08.888609|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196666
2025-10-29T20:51:10.066121|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195956
2025-10-29T20:51:11.185472|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195972
2025-10-29T20:51:12.276633|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000195988
2025-10-29T20:51:13.395876|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196682
2025-10-29T20:51:14.533339|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202004
2025-10-29T20:51:15.671988|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196698
2025-10-29T20:51:16.900943|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196714
2025-10-29T20:51:18.022320|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202020
2025-10-29T20:51:19.094329|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196730
2025-10-29T20:51:20.236132|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202036
2025-10-29T20:51:21.414877|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202052
2025-10-29T20:51:22.502879|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196746
2025-10-29T20:51:23.613051|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202068
2025-10-29T20:51:24.718091|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202084
2025-10-29T20:51:25.819422|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202100
2025-10-29T20:51:26.945508|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196762
2025-10-29T20:51:28.101622|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202116
2025-10-29T20:51:29.209319|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196778
2025-10-29T20:51:30.586784|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196794
2025-10-29T20:51:31.697596|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202132
2025-10-29T20:51:33.070116|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196810
2025-10-29T20:51:34.225930|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202148
2025-10-29T20:51:35.335450|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196826
2025-10-29T20:51:36.523872|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196842
2025-10-29T20:51:37.643877|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202164
2025-10-29T20:51:38.704537|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196858
2025-10-29T20:51:39.806863|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202180
2025-10-29T20:51:40.922599|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202196
2025-10-29T20:51:42.052165|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202212
2025-10-29T20:51:43.187947|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196874
2025-10-29T20:51:44.518721|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196890
2025-10-29T20:51:46.011746|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196906
2025-10-29T20:51:47.103888|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196922
2025-10-29T20:51:48.228539|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196938
2025-10-29T20:51:49.326000|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202228
2025-10-29T20:51:50.497462|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196954
2025-10-29T20:51:51.619472|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202244
2025-10-29T20:51:52.705558|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196970
2025-10-29T20:51:53.841614|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202260
2025-10-29T20:51:54.972773|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000196986
2025-10-29T20:51:56.137976|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202276
2025-10-29T20:51:57.257336|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203006
2025-10-29T20:51:58.416854|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203022
2025-10-29T20:51:59.549169|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202292
2025-10-29T20:52:00.758550|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202308
2025-10-29T20:52:01.868032|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202324
2025-10-29T20:52:03.000497|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202340
2025-10-29T20:52:04.172233|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203038
2025-10-29T20:52:05.273338|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203054
2025-10-29T20:52:06.392494|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203070
2025-10-29T20:52:07.516408|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203086
2025-10-29T20:52:08.619036|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203102
2025-10-29T20:52:09.856998|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203118
2025-10-29T20:52:11.001221|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202356
2025-10-29T20:52:12.156907|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203134
2025-10-29T20:52:13.272718|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202372
2025-10-29T20:52:14.382634|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202388
2025-10-29T20:52:15.773544|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202404
2025-10-29T20:52:16.877927|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203150
2025-10-29T20:52:18.062488|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202420
2025-10-29T20:52:19.131478|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203166
2025-10-29T20:52:20.297259|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203182
2025-10-29T20:52:21.487009|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000202436
2025-10-29T20:52:22.644777|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203198
2025-10-29T20:52:23.761686|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203214
2025-10-29T20:52:24.935211|POST|INVOICE|invoices|24391894961|N/A|SUCCESS|201|73985000000203230
