Date,Reference Number,Journal Type,GL_Account,Description,Debit,Credit,Notes
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2111 - Merchant Order ID: 702-2546708-0658618
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2081 - Merchant Order ID: 702-3644823-2353866
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 2085 - Merchant Order ID: 702-3644823-2353866
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2084 - Merchant Order ID: 702-3644823-2353866
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.25,0.0,Row ID: 2083 - Merchant Order ID: 702-3644823-2353866
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,3.49,Row ID: 2082 - Merchant Order ID: 702-3644823-2353866
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,5.62,0.0,Row ID: 2039 - Merchant Order ID: 702-6828521-6572229
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,6.12,0.0,Row ID: 2038 - Merchant Order ID: 702-6828521-6572229
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2037 - Merchant Order ID: 702-6828521-6572229
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2088 - Merchant Order ID: 701-9396647-2010638
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/FBAPerUnitFulfillmentFee,8.11,0.0,Row ID: 2089 - Merchant Order ID: 701-9396647-2010638
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,59.99,Row ID: 2087 - Merchant Order ID: 701-9396647-2010638
2025-10-11,24596907561,both,Amazon.ca Revenue,Order/Shipping,0.0,6.99,Row ID: 2091 - Merchant Order ID: 701-9396647-2010638
2025-10-11,24596907561,both,Amazon FBA Fulfillment Fees,Order/Commission,9.63,0.0,Row ID: 2090 - Merchant Order ID: 701-9396647-2010638
2025-10-11,24596907561,both,Amazon.ca Clearing,Order/Principal,0.0,34.99,Row ID: 2055 - Merchant Order ID: 701-5825429-4352236
